"﻿""GEO_ID""",NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0081E,DP05_0082E,DP05_0033PE,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0071PM,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0081PE
Geography,Geographic Area Name,Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent!!RACE!!Total population,Percent!!Race alone or in combination with one or more other races!!Total population!!White,Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
0500000US06037,"Los Angeles County, California",9848406,5010533,927348,266083,1689402,57803,3644809,9848406,4753369,5095037,2477324,9848406,50.9,9.4,2.7,0.1,17.2,0.6,37,48.3,51.7
1400000US06037104103,Census Tract 1041.03; Los Angeles County; California,4257,2454,641,116,306,0,2392,4257,3023,1234,269,4257,57.6,15.1,2.7,2.1,7.2,0,56.2,71,29
1400000US06037104105,Census Tract 1041.05; Los Angeles County; California,5890,3053,298,41,286,575,3651,5890,4686,1204,220,5890,51.8,5.1,0.7,0.7,4.9,9.8,62,79.6,20.4
1400000US06037104108,Census Tract 1041.08; Los Angeles County; California,4952,2919,440,100,269,0,2939,4952,4124,828,60,4952,58.9,8.9,2,1.9,5.4,0,59.3,83.3,16.7
1400000US06037104124,Census Tract 1041.24; Los Angeles County; California,4090,2762,490,186,199,53,1399,4090,1988,2102,1421,4090,67.5,12,4.5,5,4.9,1.3,34.2,48.6,51.4
1400000US06037104201,Census Tract 1042.01; Los Angeles County; California,4325,2104,456,103,165,0,3090,4325,3660,665,22,4325,48.6,10.5,2.4,2.5,3.8,0,71.4,84.6,15.4
1400000US06037104203,Census Tract 1042.03; Los Angeles County; California,4978,2865,247,37,68,0,3498,4978,4625,353,37,4978,57.6,5,0.7,1.1,1.4,0,70.3,92.9,7.1
1400000US06037104204,Census Tract 1042.04; Los Angeles County; California,3736,2210,168,60,217,26,2288,3736,2932,804,422,3736,59.2,4.5,1.6,1.9,5.8,0.7,61.2,78.5,21.5
1400000US06037104310,Census Tract 1043.10; Los Angeles County; California,4476,1883,66,150,15,0,3543,4476,4251,225,57,4476,42.1,1.5,3.4,3.1,0.3,0,79.2,95,5
1400000US06037104321,Census Tract 1043.21; Los Angeles County; California,2926,1483,54,268,18,0,2313,2926,2795,131,11,2926,50.7,1.8,9.2,11,0.6,0,79,95.5,4.5
1400000US06037104322,Census Tract 1043.22; Los Angeles County; California,1856,960,14,17,68,29,1286,1856,1685,171,81,1856,51.7,0.8,0.9,2.2,3.7,1.6,69.3,90.8,9.2
1400000US06037104401,Census Tract 1044.01; Los Angeles County; California,3083,1594,50,41,0,6,2350,3083,2966,117,88,3083,51.7,1.6,1.3,1.3,0,0.2,76.2,96.2,3.8
1400000US06037104403,Census Tract 1044.03; Los Angeles County; California,2292,939,0,77,144,0,1655,2292,2169,123,34,2292,41,0,3.4,3.9,6.3,0,72.2,94.6,5.4
1400000US06037104404,Census Tract 1044.04; Los Angeles County; California,3374,1840,0,26,20,0,2602,3374,3307,67,47,3374,54.5,0,0.8,0.9,0.6,0,77.1,98,2
1400000US06037104500,Census Tract 1045; Los Angeles County; California,3539,2106,5,162,45,0,2984,3539,3444,95,59,3539,59.5,0.1,4.6,6.2,1.3,0,84.3,97.3,2.7
1400000US06037104610,Census Tract 1046.10; Los Angeles County; California,3124,1351,23,103,10,0,2547,3124,3024,100,67,3124,43.2,0.7,3.3,2.9,0.3,0,81.5,96.8,3.2
1400000US06037104620,Census Tract 1046.20; Los Angeles County; California,3266,1999,13,60,18,0,2343,3266,3106,160,147,3266,61.2,0.4,1.8,1.8,0.6,0,71.7,95.1,4.9
1400000US06037104701,Census Tract 1047.01; Los Angeles County; California,3916,2322,123,146,9,14,2727,3916,3851,65,12,3916,59.3,3.1,3.7,3.4,0.2,0.4,69.6,98.3,1.7
1400000US06037104703,Census Tract 1047.03; Los Angeles County; California,2306,1592,181,33,60,0,1495,2306,1874,432,203,2306,69,7.8,1.4,2,2.6,0,64.8,81.3,18.7
1400000US06037104704,Census Tract 1047.04; Los Angeles County; California,4662,2801,317,40,133,0,3169,4662,3809,853,350,4662,60.1,6.8,0.9,1.1,2.9,0,68,81.7,18.3
1400000US06037104821,Census Tract 1048.21; Los Angeles County; California,3476,2072,0,45,58,0,2620,3476,3249,227,150,3476,59.6,0,1.3,1.9,1.7,0,75.4,93.5,6.5
1400000US06037104822,Census Tract 1048.22; Los Angeles County; California,2199,1213,10,69,125,0,1633,2199,2034,165,33,2199,55.2,0.5,3.1,2.5,5.7,0,74.3,92.5,7.5
1400000US06037104823,Census Tract 1048.23; Los Angeles County; California,3195,1918,169,54,373,0,2310,3195,2639,556,46,3195,60,5.3,1.7,2.5,11.7,0,72.3,82.6,17.4
1400000US06037104824,Census Tract 1048.24; Los Angeles County; California,2582,1268,14,77,0,17,2156,2582,2535,47,10,2582,49.1,0.5,3,3.4,0,0.7,83.5,98.2,1.8
1400000US06037106010,Census Tract 1060.10; Los Angeles County; California,4049,2793,51,34,195,33,2317,4049,3042,1007,746,4049,69,1.3,0.8,0.9,4.8,0.8,57.2,75.1,24.9
1400000US06037106020,Census Tract 1060.20; Los Angeles County; California,4850,1822,226,298,455,0,3066,4850,3664,1186,380,4850,37.6,4.7,6.1,3.9,9.4,0,63.2,75.5,24.5
1400000US06037106111,Census Tract 1061.11; Los Angeles County; California,4707,2635,358,193,563,0,1814,4707,2726,1981,1217,4707,56,7.6,4.1,2.7,12,0,38.5,57.9,42.1
1400000US06037106112,Census Tract 1061.12; Los Angeles County; California,5035,2788,120,342,446,0,2358,5035,3622,1413,853,5035,55.4,2.4,6.8,5.1,8.9,0,46.8,71.9,28.1
1400000US06037106113,Census Tract 1061.13; Los Angeles County; California,3835,2310,94,134,675,26,1879,3835,2656,1179,460,3835,60.2,2.5,3.5,3.7,17.6,0.7,49,69.3,30.7
1400000US06037106114,Census Tract 1061.14; Los Angeles County; California,6929,3436,104,106,856,41,4034,6929,5757,1172,255,6929,49.6,1.5,1.5,1.6,12.4,0.6,58.2,83.1,16.9
1400000US06037106403,Census Tract 1064.03; Los Angeles County; California,3860,1892,204,52,87,67,2332,3860,3209,651,324,3860,49,5.3,1.3,1.2,2.3,1.7,60.4,83.1,16.9
1400000US06037106405,Census Tract 1064.05; Los Angeles County; California,4149,2209,546,96,594,0,1933,4149,3016,1133,457,4149,53.2,13.2,2.3,2.5,14.3,0,46.6,72.7,27.3
1400000US06037106406,Census Tract 1064.06; Los Angeles County; California,6292,3615,132,0,546,0,3356,6292,4405,1887,1242,6292,57.5,2.1,0,0.7,8.7,0,53.3,70,30
1400000US06037106407,Census Tract 1064.07; Los Angeles County; California,2333,1124,142,14,102,0,1330,2333,1908,425,201,2333,48.2,6.1,0.6,0.5,4.4,0,57,81.8,18.2
1400000US06037106408,Census Tract 1064.08; Los Angeles County; California,3832,2150,172,194,64,5,2425,3832,3451,381,155,3832,56.1,4.5,5.1,4.1,1.7,0.1,63.3,90.1,9.9
1400000US06037106510,Census Tract 1065.10; Los Angeles County; California,5599,2719,298,209,1214,18,2057,5599,3249,2350,725,5599,48.6,5.3,3.7,3,21.7,0.3,36.7,58,42
1400000US06037106520,Census Tract 1065.20; Los Angeles County; California,5484,3164,263,115,119,0,2940,5484,4779,705,245,5484,57.7,4.8,2.1,1.7,2.2,0,53.6,87.1,12.9
1400000US06037106603,Census Tract 1066.03; Los Angeles County; California,3681,2568,286,23,693,10,790,3681,985,2696,1688,3681,69.8,7.8,0.6,0.5,18.8,0.3,21.5,26.8,73.2
1400000US06037106604,Census Tract 1066.04; Los Angeles County; California,4349,2465,139,147,215,20,2732,4349,3800,549,216,4349,56.7,3.2,3.4,3.6,4.9,0.5,62.8,87.4,12.6
1400000US06037106641,Census Tract 1066.41; Los Angeles County; California,2096,1608,71,12,476,0,184,2096,166,1930,1352,2096,76.7,3.4,0.6,0.9,22.7,0,8.8,7.9,92.1
1400000US06037106642,Census Tract 1066.42; Los Angeles County; California,3514,2922,60,39,337,0,587,3514,734,2780,2319,3514,83.2,1.7,1.1,2,9.6,0,16.7,20.9,79.1
1400000US06037106643,Census Tract 1066.43; Los Angeles County; California,4311,2664,340,0,835,0,676,4311,468,3843,2221,4311,61.8,7.9,0,1,19.4,0,15.7,10.9,89.1
1400000US06037106645,Census Tract 1066.45; Los Angeles County; California,3672,2808,31,155,571,0,407,3672,1000,2672,2053,3672,76.5,0.8,4.2,3.2,15.6,0,11.1,27.2,72.8
1400000US06037106646,Census Tract 1066.46; Los Angeles County; California,3092,1746,313,13,744,0,696,3092,799,2293,1241,3092,56.5,10.1,0.4,0.8,24.1,0,22.5,25.8,74.2
1400000US06037106648,Census Tract 1066.48; Los Angeles County; California,4713,3029,29,375,0,35,2732,4713,4322,391,331,4713,64.3,0.6,8,6.6,0,0.7,58,91.7,8.3
1400000US06037106649,Census Tract 1066.49; Los Angeles County; California,2689,865,25,61,512,29,1599,2689,1860,829,268,2689,32.2,0.9,2.3,2.1,19,1.1,59.5,69.2,30.8
1400000US06037107010,Census Tract 1070.10; Los Angeles County; California,2997,1517,14,138,68,0,1843,2997,2726,271,166,2997,50.6,0.5,4.6,3.8,2.3,0,61.5,91,9
1400000US06037107020,Census Tract 1070.20; Los Angeles County; California,4921,2565,75,159,223,135,3132,4921,4296,625,313,4921,52.1,1.5,3.2,2.2,4.5,2.7,63.6,87.3,12.7
1400000US06037108101,Census Tract 1081.01; Los Angeles County; California,2128,1455,57,133,550,21,292,2128,407,1721,1119,2128,68.4,2.7,6.3,5.7,25.8,1,13.7,19.1,80.9
1400000US06037108102,Census Tract 1081.02; Los Angeles County; California,3477,1934,113,0,1394,0,283,3477,362,3115,1735,3477,55.6,3.2,0,1.2,40.1,0,8.1,10.4,89.6
1400000US06037108103,Census Tract 1081.03; Los Angeles County; California,3053,2060,115,0,897,0,272,3053,257,2796,1735,3053,67.5,3.8,0,1.4,29.4,0,8.9,8.4,91.6
1400000US06037108104,Census Tract 1081.04; Los Angeles County; California,1754,1128,80,6,431,0,253,1754,121,1633,1012,1754,64.3,4.6,0.3,0.5,24.6,0,14.4,6.9,93.1
1400000US06037108202,Census Tract 1082.02; Los Angeles County; California,10248,4048,1728,0,4163,435,965,10248,1061,9187,3163,10248,39.5,16.9,0,0.4,40.6,4.2,9.4,10.4,89.6
1400000US06037108203,Census Tract 1082.03; Los Angeles County; California,3157,1397,352,99,1357,9,60,3157,249,2908,1199,3157,44.3,11.1,3.1,3.7,43,0.3,1.9,7.9,92.1
1400000US06037108204,Census Tract 1082.04; Los Angeles County; California,1782,757,105,16,958,0,44,1782,108,1674,643,1782,42.5,5.9,0.9,1,53.8,0,2.5,6.1,93.9
1400000US06037109100,Census Tract 1091; Los Angeles County; California,2861,1573,128,71,531,0,1026,2861,1293,1568,935,2861,55,4.5,2.5,3,18.6,0,35.9,45.2,54.8
1400000US06037109200,Census Tract 1092; Los Angeles County; California,2863,1466,87,0,1083,0,608,2863,665,2198,1052,2863,51.2,3,0,1.5,37.8,0,21.2,23.2,76.8
1400000US06037109300,Census Tract 1093; Los Angeles County; California,2905,2017,93,35,599,0,914,2905,1327,1578,822,2905,69.4,3.2,1.2,1.2,20.6,0,31.5,45.7,54.3
1400000US06037109400,Census Tract 1094; Los Angeles County; California,3620,1687,46,150,248,0,2617,3620,2863,757,472,3620,46.6,1.3,4.1,4.6,6.9,0,72.3,79.1,20.9
1400000US06037109500,Census Tract 1095; Los Angeles County; California,3907,1376,58,162,139,19,2693,3907,3441,466,269,3907,35.2,1.5,4.1,4.1,3.6,0.5,68.9,88.1,11.9
1400000US06037109601,Census Tract 1096.01; Los Angeles County; California,5042,2723,227,84,600,135,2566,5042,3025,2017,1168,5042,54,4.5,1.7,1.4,11.9,2.7,50.9,60,40
1400000US06037109603,Census Tract 1096.03; Los Angeles County; California,4038,1144,84,32,684,50,2515,4038,2957,1081,402,4038,28.3,2.1,0.8,1.1,16.9,1.2,62.3,73.2,26.8
1400000US06037109604,Census Tract 1096.04; Los Angeles County; California,2721,1290,142,198,315,1,1288,2721,1929,792,379,2721,47.4,5.2,7.3,3.4,11.6,0,47.3,70.9,29.1
1400000US06037109700,Census Tract 1097; Los Angeles County; California,4259,2773,166,80,1000,166,1096,4259,1564,2695,1443,4259,65.1,3.9,1.9,1.7,23.5,3.9,25.7,36.7,63.3
1400000US06037109800,Census Tract 1098; Los Angeles County; California,4625,3250,94,374,473,34,1515,4625,2227,2398,1639,4625,70.3,2,8.1,7.6,10.2,0.7,32.8,48.2,51.8
1400000US06037111100,Census Tract 1111; Los Angeles County; California,2965,1567,30,269,641,9,907,2965,1429,1536,851,2965,52.8,1,9.1,6.3,21.6,0.3,30.6,48.2,51.8
1400000US06037111201,Census Tract 1112.01; Los Angeles County; California,3275,1943,43,16,640,0,1125,3275,1644,1631,939,3275,59.3,1.3,0.5,0.8,19.5,0,34.4,50.2,49.8
1400000US06037111202,Census Tract 1112.02; Los Angeles County; California,5742,3495,206,108,1567,6,1680,5742,1754,3988,2151,5742,60.9,3.6,1.9,2.7,27.3,0.1,29.3,30.5,69.5
1400000US06037111204,Census Tract 1112.04; Los Angeles County; California,5902,3593,326,17,1903,0,1283,5902,1372,4530,2566,5902,60.9,5.5,0.3,0.4,32.2,0,21.7,23.2,76.8
1400000US06037111205,Census Tract 1112.05; Los Angeles County; California,3627,1829,116,8,1137,0,881,3627,1029,2598,1319,3627,50.4,3.2,0.2,0.4,31.3,0,24.3,28.4,71.6
1400000US06037111206,Census Tract 1112.06; Los Angeles County; California,4295,3024,238,118,1013,46,562,4295,929,3366,2129,4295,70.4,5.5,2.7,2.3,23.6,1.1,13.1,21.6,78.4
