geoid,name,B01003001,"B01003001, Error"
15000US060371047041,"BG 1, Tract 1047.04, Los Angeles, CA",1721,441
15000US060371047042,"BG 2, Tract 1047.04, Los Angeles, CA",1944,785
15000US060371047043,"BG 3, Tract 1047.04, Los Angeles, CA",997,360
15000US060371048211,"BG 1, Tract 1048.21, Los Angeles, CA",2260,407
15000US060371048212,"BG 2, Tract 1048.21, Los Angeles, CA",1216,555
15000US060371048221,"BG 1, Tract 1048.22, Los Angeles, CA",2199,309
15000US060371048231,"BG 1, Tract 1048.23, Los Angeles, CA",1838,503
15000US060371048232,"BG 2, Tract 1048.23, Los Angeles, CA",1357,757
15000US060371048241,"BG 1, Tract 1048.24, Los Angeles, CA",778,348
15000US060371048242,"BG 2, Tract 1048.24, Los Angeles, CA",1804,1123
15000US060371060101,"BG 1, Tract 1060.10, Los Angeles, CA",1736,666
15000US060371060102,"BG 2, Tract 1060.10, Los Angeles, CA",2313,525
15000US060371060201,"BG 1, Tract 1060.20, Los Angeles, CA",1450,352
15000US060371060202,"BG 2, Tract 1060.20, Los Angeles, CA",1121,303
15000US060371060203,"BG 3, Tract 1060.20, Los Angeles, CA",2279,1073
15000US060371061111,"BG 1, Tract 1061.11, Los Angeles, CA",2568,726
15000US060371061112,"BG 2, Tract 1061.11, Los Angeles, CA",2139,368
15000US060371061121,"BG 1, Tract 1061.12, Los Angeles, CA",1935,441
15000US060371061122,"BG 2, Tract 1061.12, Los Angeles, CA",1617,636
15000US060371061123,"BG 3, Tract 1061.12, Los Angeles, CA",1483,358
15000US060371061131,"BG 1, Tract 1061.13, Los Angeles, CA",2016,500
15000US060371061132,"BG 2, Tract 1061.13, Los Angeles, CA",1819,429
15000US060371061141,"BG 1, Tract 1061.14, Los Angeles, CA",1663,495
15000US060371061142,"BG 2, Tract 1061.14, Los Angeles, CA",2118,531
15000US060371061143,"BG 3, Tract 1061.14, Los Angeles, CA",3148,883
15000US060371064031,"BG 1, Tract 1064.03, Los Angeles, CA",972,439
15000US060371064032,"BG 2, Tract 1064.03, Los Angeles, CA",1353,418
15000US060371064033,"BG 3, Tract 1064.03, Los Angeles, CA",1535,513
15000US060371064051,"BG 1, Tract 1064.05, Los Angeles, CA",1745,546
15000US060371064052,"BG 2, Tract 1064.05, Los Angeles, CA",1477,589
15000US060371064053,"BG 3, Tract 1064.05, Los Angeles, CA",927,441
15000US060371064061,"BG 1, Tract 1064.06, Los Angeles, CA",3413,620
15000US060371064062,"BG 2, Tract 1064.06, Los Angeles, CA",907,425
15000US060371064063,"BG 3, Tract 1064.06, Los Angeles, CA",1972,953
15000US060371064071,"BG 1, Tract 1064.07, Los Angeles, CA",1258,233
15000US060371064072,"BG 2, Tract 1064.07, Los Angeles, CA",1075,319
15000US060371064081,"BG 1, Tract 1064.08, Los Angeles, CA",3010,604
15000US060371064082,"BG 2, Tract 1064.08, Los Angeles, CA",822,302
15000US060371065101,"BG 1, Tract 1065.10, Los Angeles, CA",1788,681
15000US060371065102,"BG 2, Tract 1065.10, Los Angeles, CA",1851,567
15000US060371065103,"BG 3, Tract 1065.10, Los Angeles, CA",1960,647
15000US060371065201,"BG 1, Tract 1065.20, Los Angeles, CA",2421,664
15000US060371065202,"BG 2, Tract 1065.20, Los Angeles, CA",1560,390
15000US060371065203,"BG 3, Tract 1065.20, Los Angeles, CA",1503,564
15000US060371066031,"BG 1, Tract 1066.03, Los Angeles, CA",1779,467
15000US060371066032,"BG 2, Tract 1066.03, Los Angeles, CA",1902,594
15000US060371066041,"BG 1, Tract 1066.04, Los Angeles, CA",1740,477
15000US060371066042,"BG 2, Tract 1066.04, Los Angeles, CA",1491,516
15000US060371066043,"BG 3, Tract 1066.04, Los Angeles, CA",1118,516
15000US060371066411,"BG 1, Tract 1066.41, Los Angeles, CA",2096,268
15000US060371066421,"BG 1, Tract 1066.42, Los Angeles, CA",1125,401
15000US060371066422,"BG 2, Tract 1066.42, Los Angeles, CA",1270,512
15000US060371066423,"BG 3, Tract 1066.42, Los Angeles, CA",1119,379
15000US060371066431,"BG 1, Tract 1066.43, Los Angeles, CA",2016,460
15000US060371066432,"BG 2, Tract 1066.43, Los Angeles, CA",1176,359
15000US060371066433,"BG 3, Tract 1066.43, Los Angeles, CA",1119,723
15000US060371066451,"BG 1, Tract 1066.45, Los Angeles, CA",1208,344
15000US060371066452,"BG 2, Tract 1066.45, Los Angeles, CA",2464,705
15000US060371066461,"BG 1, Tract 1066.46, Los Angeles, CA",2056,290
15000US060371066462,"BG 2, Tract 1066.46, Los Angeles, CA",1036,235
15000US060371066481,"BG 1, Tract 1066.48, Los Angeles, CA",3938,549
15000US060371066482,"BG 2, Tract 1066.48, Los Angeles, CA",775,327
15000US060371066491,"BG 1, Tract 1066.49, Los Angeles, CA",1489,679
15000US060371066492,"BG 2, Tract 1066.49, Los Angeles, CA",1200,281
15000US060371070101,"BG 1, Tract 1070.10, Los Angeles, CA",1719,464
15000US060371070102,"BG 2, Tract 1070.10, Los Angeles, CA",1278,298
