Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 2; Census Tract 1211.01; Los Angeles County; California!!Margin of Error";±409;±263;±39;±29;±79;±13;±300;±237;±237;±34
"Block Group 1; Census Tract 1211.02; Los Angeles County; California!!Estimate";681;407;38;3;20;0;116;97;97;0
"Block Group 1; Census Tract 1211.02; Los Angeles County; California!!Margin of Error";±207;±184;±48;±7;±19;±13;±86;±74;±74;±13
"Block Group 2; Census Tract 1211.02; Los Angeles County; California!!Estimate";686;549;0;0;16;0;72;49;33;16
"Block Group 2; Census Tract 1211.02; Los Angeles County; California!!Margin of Error";±192;±186;±13;±13;±23;±13;±57;±41;±33;±26
"Block Group 3; Census Tract 1211.02; Los Angeles County; California!!Estimate";904;307;18;0;64;0;371;144;144;0
"Block Group 3; Census Tract 1211.02; Los Angeles County; California!!Margin of Error";±277;±150;±24;±13;±86;±13;±261;±126;±126;±13
"Block Group 1; Census Tract 1212.10; Los Angeles County; California!!Estimate";2.113;578;71;29;245;0;719;471;430;41
"Block Group 1; Census Tract 1212.10; Los Angeles County; California!!Margin of Error";±596;±223;±63;±77;±125;±13;±460;±288;±284;±43
"Block Group 2; Census Tract 1212.10; Los Angeles County; California!!Estimate";809;364;12;18;59;12;236;108;32;76
"Block Group 2; Census Tract 1212.10; Los Angeles County; California!!Margin of Error";±265;±251;±22;±23;±57;±19;±172;±81;±38;±82
"Block Group 1; Census Tract 1212.21; Los Angeles County; California!!Estimate";539;198;20;0;30;0;136;155;155;0
"Block Group 1; Census Tract 1212.21; Los Angeles County; California!!Margin of Error";±207;±116;±23;±13;±31;±13;±91;±125;±125;±13
"Block Group 2; Census Tract 1212.21; Los Angeles County; California!!Estimate";1.698;785;24;15;131;0;318;425;368;57
"Block Group 2; Census Tract 1212.21; Los Angeles County; California!!Margin of Error";±334;±343;±23;±24;±83;±13;±198;±202;±167;±68
"Block Group 1; Census Tract 1212.22; Los Angeles County; California!!Estimate";1.680;419;127;0;0;0;627;507;507;0
"Block Group 1; Census Tract 1212.22; Los Angeles County; California!!Margin of Error";±665;±336;±130;±13;±13;±13;±516;±430;±430;±13
"Block Group 2; Census Tract 1212.22; Los Angeles County; California!!Estimate";882;371;0;0;18;0;448;45;45;0
"Block Group 2; Census Tract 1212.22; Los Angeles County; California!!Margin of Error";±346;±217;±13;±13;±28;±13;±291;±48;±48;±13
"Block Group 3; Census Tract 1212.22; Los Angeles County; California!!Estimate";2.310;825;79;244;66;0;757;339;271;68
"Block Group 3; Census Tract 1212.22; Los Angeles County; California!!Margin of Error";±479;±463;±84;±249;±54;±13;±500;±269;±262;±80
"Block Group 1; Census Tract 1216; Los Angeles County; California!!Estimate";1.850;1.085;2;0;532;0;134;97;27;70
"Block Group 1; Census Tract 1216; Los Angeles County; California!!Margin of Error";±313;±301;±4;±13;±222;±13;±183;±75;±31;±63
"Block Group 2; Census Tract 1216; Los Angeles County; California!!Estimate";785;300;5;102;287;0;91;0;0;0
"Block Group 2; Census Tract 1216; Los Angeles County; California!!Margin of Error";±281;±184;±8;±160;±183;±13;±75;±13;±13;±13
"Block Group 1; Census Tract 1218.01; Los Angeles County; California!!Estimate";2.391;659;10;7;192;0;981;542;519;23
"Block Group 1; Census Tract 1218.01; Los Angeles County; California!!Margin of Error";±685;±240;±21;±13;±138;±13;±403;±462;±463;±30
"Block Group 2; Census Tract 1218.01; Los Angeles County; California!!Estimate";1.525;309;0;24;7;0;872;313;299;14
"Block Group 2; Census Tract 1218.01; Los Angeles County; California!!Margin of Error";±407;±171;±13;±42;±16;±13;±273;±259;±257;±21
"Block Group 1; Census Tract 1218.02; Los Angeles County; California!!Estimate";1.105;264;6;0;101;0;513;221;221;0
"Block Group 1; Census Tract 1218.02; Los Angeles County; California!!Margin of Error";±278;±137;±9;±13;±107;±13;±237;±179;±179;±13
"Block Group 2; Census Tract 1218.02; Los Angeles County; California!!Estimate";1.921;594;197;70;159;0;516;385;364;21
"Block Group 2; Census Tract 1218.02; Los Angeles County; California!!Margin of Error";±459;±185;±156;±97;±119;±13;±249;±346;±344;±20
"Block Group 1; Census Tract 1219; Los Angeles County; California!!Estimate";1.141;331;0;0;0;0;330;480;480;0
"Block Group 1; Census Tract 1219; Los Angeles County; California!!Margin of Error";±281;±196;±13;±13;±13;±13;±138;±320;±320;±13
"Block Group 2; Census Tract 1219; Los Angeles County; California!!Estimate";2.173;1.024;75;29;138;0;368;539;496;43
"Block Group 2; Census Tract 1219; Los Angeles County; California!!Margin of Error";±543;±399;±93;±45;±128;±13;±182;±450;±445;±66
"Block Group 1; Census Tract 1220; Los Angeles County; California!!Estimate";1.731;1.355;0;0;73;0;250;53;42;11
"Block Group 1; Census Tract 1220; Los Angeles County; California!!Margin of Error";±488;±409;±13;±13;±84;±13;±206;±56;±52;±17
"Block Group 2; Census Tract 1220; Los Angeles County; California!!Estimate";2.465;1.498;0;0;213;0;453;301;301;0
"Block Group 2; Census Tract 1220; Los Angeles County; California!!Margin of Error";±685;±606;±13;±13;±152;±13;±437;±257;±257;±13
"Block Group 3; Census Tract 1220; Los Angeles County; California!!Estimate";838;269;10;0;84;0;189;286;89;197
"Block Group 3; Census Tract 1220; Los Angeles County; California!!Margin of Error";±399;±193;±15;±13;±124;±13;±186;±316;±85;±306
"Block Group 1; Census Tract 1221.20; Los Angeles County; California!!Estimate";1.909;504;6;172;87;0;603;537;435;102
"Block Group 1; Census Tract 1221.20; Los Angeles County; California!!Margin of Error";±483;±238;±12;±260;±79;±13;±284;±309;±284;±120
"Block Group 2; Census Tract 1221.20; Los Angeles County; California!!Estimate";2.783;900;138;3;0;0;1.113;629;576;53
"Block Group 2; Census Tract 1221.20; Los Angeles County; California!!Margin of Error";±506;±439;±150;±13;±13;±13;±430;±337;±336;±47
"Block Group 1; Census Tract 1221.21; Los Angeles County; California!!Estimate";1.786;690;157;13;20;0;383;523;511;12
"Block Group 1; Census Tract 1221.21; Los Angeles County; California!!Margin of Error";±438;±265;±118;±16;±26;±13;±187;±405;±402;±20
"Block Group 2; Census Tract 1221.21; Los Angeles County; California!!Estimate";1.067;329;0;0;11;0;446;281;145;136
"Block Group 2; Census Tract 1221.21; Los Angeles County; California!!Margin of Error";±316;±145;±13;±13;±48;±13;±247;±188;±99;±166
"Block Group 1; Census Tract 1221.22; Los Angeles County; California!!Estimate";1.060;315;75;0;40;0;275;355;350;5
"Block Group 1; Census Tract 1221.22; Los Angeles County; California!!Margin of Error";±521;±189;±101;±13;±44;±13;±119;±503;±503;±7
"Block Group 2; Census Tract 1221.22; Los Angeles County; California!!Estimate";1.447;381;52;0;22;0;343;649;583;66
"Block Group 2; Census Tract 1221.22; Los Angeles County; California!!Margin of Error";±392;±180;±54;±13;±37;±13;±181;±313;±304;±49
"Block Group 1; Census Tract 1222; Los Angeles County; California!!Estimate";2.073;761;12;0;82;0;820;398;343;55
"Block Group 1; Census Tract 1222; Los Angeles County; California!!Margin of Error";±425;±292;±14;±13;±85;±13;±351;±300;±296;±46
"Block Group 2; Census Tract 1222; Los Angeles County; California!!Estimate";1.811;733;1;0;25;11;486;555;555;0
"Block Group 2; Census Tract 1222; Los Angeles County; California!!Margin of Error";±386;±263;±4;±13;±40;±15;±243;±252;±252;±13
"Block Group 1; Census Tract 1224.10; Los Angeles County; California!!Estimate";2.898;730;79;109;154;0;707;1.119;995;124
"Block Group 1; Census Tract 1224.10; Los Angeles County; California!!Margin of Error";±601;±267;±59;±148;±111;±13;±287;±544;±541;±89
"Block Group 2; Census Tract 1224.10; Los Angeles County; California!!Estimate";1.051;410;29;29;97;0;389;97;97;0
"Block Group 2; Census Tract 1224.10; Los Angeles County; California!!Margin of Error";±382;±391;±31;±43;±77;±13;±219;±105;±105;±13
"Block Group 1; Census Tract 1224.20; Los Angeles County; California!!Estimate";1.216;319;13;0;80;0;298;506;469;37
"Block Group 1; Census Tract 1224.20; Los Angeles County; California!!Margin of Error";±492;±149;±21;±13;±58;±13;±236;±397;±392;±58
"Block Group 2; Census Tract 1224.20; Los Angeles County; California!!Estimate";1.721;660;22;0;0;0;798;241;232;9
"Block Group 2; Census Tract 1224.20; Los Angeles County; California!!Margin of Error";±767;±472;±31;±13;±13;±13;±568;±240;±239;±9
"Block Group 3; Census Tract 1224.20; Los Angeles County; California!!Estimate";2.176;333;0;77;292;0;1.098;376;376;0
"Block Group 3; Census Tract 1224.20; Los Angeles County; California!!Margin of Error";±436;±333;±13;±89;±186;±13;±344;±284;±284;±13
"Block Group 1; Census Tract 1230.10; Los Angeles County; California!!Estimate";2.324;752;58;0;39;20;622;833;809;24
"Block Group 1; Census Tract 1230.10; Los Angeles County; California!!Margin of Error";±605;±326;±61;±13;±70;±31;±256;±452;±448;±35
"Block Group 2; Census Tract 1230.10; Los Angeles County; California!!Estimate";1.624;585;0;8;17;109;579;326;312;14
"Block Group 2; Census Tract 1230.10; Los Angeles County; California!!Margin of Error";±393;±236;±13;±14;±25;±144;±256;±271;±271;±20
"Block Group 1; Census Tract 1230.20; Los Angeles County; California!!Estimate";1.408;588;13;0;18;0;511;278;171;107
"Block Group 1; Census Tract 1230.20; Los Angeles County; California!!Margin of Error";±340;±340;±20;±13;±23;±13;±217;±161;±139;±108
"Block Group 2; Census Tract 1230.20; Los Angeles County; California!!Estimate";1.226;606;29;0;23;0;256;312;312;0
"Block Group 2; Census Tract 1230.20; Los Angeles County; California!!Margin of Error";±352;±204;±37;±13;±29;±13;±125;±256;±256;±13
"Block Group 1; Census Tract 1231.03; Los Angeles County; California!!Estimate";1.333;757;122;0;78;0;290;86;42;44
"Block Group 1; Census Tract 1231.03; Los Angeles County; California!!Margin of Error";±395;±227;±114;±13;±68;±13;±236;±74;±51;±50
"Block Group 2; Census Tract 1231.03; Los Angeles County; California!!Estimate";2.584;1.160;142;194;156;0;527;405;301;104
"Block Group 2; Census Tract 1231.03; Los Angeles County; California!!Margin of Error";±542;±362;±109;±255;±115;±13;±270;±226;±187;±100
"Block Group 1; Census Tract 1231.04; Los Angeles County; California!!Estimate";1.148;613;94;0;112;0;241;88;50;38
"Block Group 1; Census Tract 1231.04; Los Angeles County; California!!Margin of Error";±393;±283;±85;±13;±70;±13;±256;±79;±59;±48
"Block Group 2; Census Tract 1231.04; Los Angeles County; California!!Estimate";1.498;1.142;54;0;0;0;234;68;42;26
"Block Group 2; Census Tract 1231.04; Los Angeles County; California!!Margin of Error";±490;±416;±61;±13;±13;±13;±170;±75;±65;±42
"Block Group 3; Census Tract 1231.04; Los Angeles County; California!!Estimate";1.747;690;50;10;58;0;647;292;143;149
"Block Group 3; Census Tract 1231.04; Los Angeles County; California!!Margin of Error";±433;±290;±49;±16;±52;±13;±407;±264;±140;±174
"Block Group 1; Census Tract 1232.03; Los Angeles County; California!!Estimate";953;363;31;0;0;0;329;230;230;0
"Block Group 1; Census Tract 1232.03; Los Angeles County; California!!Margin of Error";±360;±289;±41;±13;±13;±13;±212;±284;±284;±13
"Block Group 2; Census Tract 1232.03; Los Angeles County; California!!Estimate";1.033;647;0;0;0;0;157;229;229;0
"Block Group 2; Census Tract 1232.03; Los Angeles County; California!!Margin of Error";±497;±451;±13;±13;±13;±13;±178;±247;±247;±13
"Block Group 3; Census Tract 1232.03; Los Angeles County; California!!Estimate";996;542;74;42;20;0;283;35;0;35
"Block Group 3; Census Tract 1232.03; Los Angeles County; California!!Margin of Error";±329;±275;±105;±48;±32;±13;±246;±43;±13;±43
"Block Group 1; Census Tract 1232.04; Los Angeles County; California!!Estimate";1.461;291;40;0;42;0;769;319;314;5
"Block Group 1; Census Tract 1232.04; Los Angeles County; California!!Margin of Error";±605;±157;±50;±13;±65;±13;±562;±232;±231;±9
"Block Group 2; Census Tract 1232.04; Los Angeles County; California!!Estimate";1.938;1.135;97;9;83;0;477;137;122;15
"Block Group 2; Census Tract 1232.04; Los Angeles County; California!!Margin of Error";±487;±483;±61;±15;±76;±13;±195;±127;±125;±24
"Block Group 1; Census Tract 1232.05; Los Angeles County; California!!Estimate";1.980;968;68;66;26;0;327;525;468;57
"Block Group 1; Census Tract 1232.05; Los Angeles County; California!!Margin of Error";±728;±531;±63;±82;±20;±13;±135;±396;±399;±50
"Block Group 2; Census Tract 1232.05; Los Angeles County; California!!Estimate";979;542;30;0;8;0;269;130;111;19
"Block Group 2; Census Tract 1232.05; Los Angeles County; California!!Margin of Error";±240;±172;±25;±13;±16;±13;±180;±78;±74;±22
"Block Group 1; Census Tract 1232.06; Los Angeles County; California!!Estimate";2.371;925;28;45;42;0;891;440;369;71
"Block Group 1; Census Tract 1232.06; Los Angeles County; California!!Margin of Error";±264;±254;±27;±45;±52;±13;±256;±190;±181;±54
"Block Group 1; Census Tract 1233.01; Los Angeles County; California!!Estimate";2.301;1.161;33;9;743;0;206;149;86;63
"Block Group 1; Census Tract 1233.01; Los Angeles County; California!!Margin of Error";±436;±387;±52;±13;±226;±13;±151;±110;±83;±50
"Block Group 2; Census Tract 1233.01; Los Angeles County; California!!Estimate";1.767;704;153;0;155;0;418;337;217;120
"Block Group 2; Census Tract 1233.01; Los Angeles County; California!!Margin of Error";±392;±260;±104;±13;±98;±13;±224;±234;±165;±145
"Block Group 1; Census Tract 1233.03; Los Angeles County; California!!Estimate";1.039;502;33;0;18;21;300;165;88;77
"Block Group 1; Census Tract 1233.03; Los Angeles County; California!!Margin of Error";±286;±213;±31;±13;±26;±32;±178;±104;±86;±63
"Block Group 2; Census Tract 1233.03; Los Angeles County; California!!Estimate";1.990;1.046;59;19;122;0;600;144;103;41
"Block Group 2; Census Tract 1233.03; Los Angeles County; California!!Margin of Error";±267;±234;±65;±28;±76;±13;±202;±91;±79;±45
"Block Group 1; Census Tract 1233.04; Los Angeles County; California!!Estimate";2.478;1.367;19;151;180;0;523;238;174;64
"Block Group 1; Census Tract 1233.04; Los Angeles County; California!!Margin of Error";±715;±467;±30;±259;±268;±13;±353;±177;±154;±66
"Block Group 2; Census Tract 1233.04; Los Angeles County; California!!Estimate";967;413;0;8;0;0;486;60;46;14
"Block Group 2; Census Tract 1233.04; Los Angeles County; California!!Margin of Error";±365;±252;±13;±12;±13;±13;±290;±50;±47;±37
"Block Group 3; Census Tract 1233.04; Los Angeles County; California!!Estimate";1.054;818;23;0;17;0;121;75;45;30
"Block Group 3; Census Tract 1233.04; Los Angeles County; California!!Margin of Error";±311;±268;±22;±13;±20;±13;±131;±54;±49;±22
"Block Group 1; Census Tract 1234.10; Los Angeles County; California!!Estimate";2.362;1.270;38;0;224;0;687;143;78;65
"Block Group 1; Census Tract 1234.10; Los Angeles County; California!!Margin of Error";±572;±509;±29;±13;±130;±13;±342;±84;±67;±59
"Block Group 2; Census Tract 1234.10; Los Angeles County; California!!Estimate";1.141;595;0;0;97;0;358;91;55;36
"Block Group 2; Census Tract 1234.10; Los Angeles County; California!!Margin of Error";±403;±262;±13;±13;±90;±13;±287;±92;±83;±48
"Block Group 1; Census Tract 1234.20; Los Angeles County; California!!Estimate";2.624;1.474;56;18;191;0;739;146;127;19
"Block Group 1; Census Tract 1234.20; Los Angeles County; California!!Margin of Error";±741;±678;±50;±28;±126;±13;±366;±117;±114;±29
"Block Group 2; Census Tract 1234.20; Los Angeles County; California!!Estimate";645;387;56;0;53;0;71;78;78;0
"Block Group 2; Census Tract 1234.20; Los Angeles County; California!!Margin of Error";±242;±189;±84;±13;±66;±13;±62;±119;±119;±13
"Block Group 3; Census Tract 1234.20; Los Angeles County; California!!Estimate";1.132;764;56;0;0;0;281;31;31;0
"Block Group 3; Census Tract 1234.20; Los Angeles County; California!!Margin of Error";±376;±381;±94;±13;±13;±13;±284;±40;±40;±13
"Block Group 1; Census Tract 1235.10; Los Angeles County; California!!Estimate";2.395;1.319;43;0;415;0;455;163;139;24
"Block Group 1; Census Tract 1235.10; Los Angeles County; California!!Margin of Error";±532;±455;±38;±13;±298;±13;±191;±99;±91;±25
"Block Group 2; Census Tract 1235.10; Los Angeles County; California!!Estimate";2.516;1.475;59;22;142;0;714;104;85;19
"Block Group 2; Census Tract 1235.10; Los Angeles County; California!!Margin of Error";±608;±561;±96;±34;±149;±13;±324;±112;±108;±31
"Block Group 1; Census Tract 1235.20; Los Angeles County; California!!Estimate";2.619;1.409;32;63;137;0;523;455;333;122
"Block Group 1; Census Tract 1235.20; Los Angeles County; California!!Margin of Error";±352;±246;±31;±100;±75;±13;±198;±305;±278;±90
"Block Group 1; Census Tract 1236.01; Los Angeles County; California!!Estimate";874;694;13;0;67;0;12;88;0;88
"Block Group 1; Census Tract 1236.01; Los Angeles County; California!!Margin of Error";±296;±285;±21;±13;±57;±13;±36;±94;±13;±94
"Block Group 2; Census Tract 1236.01; Los Angeles County; California!!Estimate";2.225;1.546;103;0;92;0;246;238;144;94
"Block Group 2; Census Tract 1236.01; Los Angeles County; California!!Margin of Error";±478;±408;±95;±13;±150;±13;±157;±164;±150;±69
"Block Group 3; Census Tract 1236.01; Los Angeles County; California!!Estimate";2.046;1.149;70;0;71;0;315;441;391;50
"Block Group 3; Census Tract 1236.01; Los Angeles County; California!!Margin of Error";±617;±466;±69;±13;±73;±13;±297;±308;±304;±45
"Block Group 1; Census Tract 1236.02; Los Angeles County; California!!Estimate";1.839;1.154;135;0;108;0;339;103;65;38
"Block Group 1; Census Tract 1236.02; Los Angeles County; California!!Margin of Error";±487;±468;±125;±13;±134;±13;±314;±64;±55;±35
"Block Group 2; Census Tract 1236.02; Los Angeles County; California!!Estimate";759;460;111;0;21;0;51;116;7;109
"Block Group 2; Census Tract 1236.02; Los Angeles County; California!!Margin of Error";±278;±156;±165;±13;±19;±13;±59;±136;±12;±136
"Block Group 3; Census Tract 1236.02; Los Angeles County; California!!Estimate";592;404;56;0;0;0;75;57;21;36
"Block Group 3; Census Tract 1236.02; Los Angeles County; California!!Margin of Error";±172;±139;±44;±13;±13;±13;±96;±41;±17;±39
"Block Group 1; Census Tract 1237; Los Angeles County; California!!Estimate";1.041;699;0;0;7;0;104;231;224;7
"Block Group 1; Census Tract 1237; Los Angeles County; California!!Margin of Error";±447;±420;±13;±13;±10;±13;±135;±330;±330;±10
"Block Group 2; Census Tract 1237; Los Angeles County; California!!Estimate";756;494;0;0;15;0;168;79;44;35
"Block Group 2; Census Tract 1237; Los Angeles County; California!!Margin of Error";±332;±249;±13;±13;±18;±13;±178;±67;±52;±41
"Block Group 3; Census Tract 1237; Los Angeles County; California!!Estimate";1.028;698;268;0;21;0;8;33;12;21
"Block Group 3; Census Tract 1237; Los Angeles County; California!!Margin of Error";±264;±323;±182;±13;±25;±13;±12;±30;±19;±22
"Block Group 4; Census Tract 1237; Los Angeles County; California!!Estimate";1.389;568;228;24;17;0;89;463;296;167
"Block Group 4; Census Tract 1237; Los Angeles County; California!!Margin of Error";±499;±316;±308;±36;±26;±13;±72;±382;±250;±203
"Block Group 1; Census Tract 1238; Los Angeles County; California!!Estimate";1.463;1.068;13;32;0;0;44;306;269;37
"Block Group 1; Census Tract 1238; Los Angeles County; California!!Margin of Error";±453;±319;±11;±41;±13;±13;±46;±276;±267;±54
"Block Group 2; Census Tract 1238; Los Angeles County; California!!Estimate";2.463;1.633;0;0;138;0;395;297;78;219
"Block Group 2; Census Tract 1238; Los Angeles County; California!!Margin of Error";±822;±476;±13;±13;±163;±13;±346;±301;±75;±284
"Block Group 3; Census Tract 1238; Los Angeles County; California!!Estimate";1.770;1.163;114;0;102;0;256;135;0;135
"Block Group 3; Census Tract 1238; Los Angeles County; California!!Margin of Error";±396;±377;±109;±13;±111;±13;±159;±143;±13;±143
"Block Group 1; Census Tract 1239.01; Los Angeles County; California!!Estimate";2.637;990;105;0;181;0;958;403;356;47
"Block Group 1; Census Tract 1239.01; Los Angeles County; California!!Margin of Error";±500;±362;±107;±13;±129;±13;±500;±282;±278;±58
"Block Group 2; Census Tract 1239.01; Los Angeles County; California!!Estimate";1.349;651;33;22;102;0;128;413;394;19
"Block Group 2; Census Tract 1239.01; Los Angeles County; California!!Margin of Error";±515;±240;±40;±25;±98;±13;±174;±398;±399;±29
"Block Group 1; Census Tract 1239.02; Los Angeles County; California!!Estimate";1.303;757;106;67;61;0;70;242;231;11
"Block Group 1; Census Tract 1239.02; Los Angeles County; California!!Margin of Error";±365;±200;±123;±58;±37;±13;±79;±243;±241;±18
"Block Group 2; Census Tract 1239.02; Los Angeles County; California!!Estimate";1.365;603;71;0;253;0;296;142;107;35
"Block Group 2; Census Tract 1239.02; Los Angeles County; California!!Margin of Error";±256;±201;±57;±13;±144;±13;±209;±122;±113;±38
"Block Group 1; Census Tract 1240; Los Angeles County; California!!Estimate";944;676;11;0;79;0;77;101;58;43
"Block Group 1; Census Tract 1240; Los Angeles County; California!!Margin of Error";±386;±423;±37;±13;±85;±13;±103;±80;±39;±68
"Block Group 2; Census Tract 1240; Los Angeles County; California!!Estimate";1.405;1.069;17;0;101;0;0;218;41;177
"Block Group 2; Census Tract 1240; Los Angeles County; California!!Margin of Error";±504;±395;±27;±13;±86;±13;±13;±223;±67;±206
"Block Group 3; Census Tract 1240; Los Angeles County; California!!Estimate";1.219;952;90;23;45;0;19;90;0;90
"Block Group 3; Census Tract 1240; Los Angeles County; California!!Margin of Error";±380;±341;±146;±41;±52;±13;±29;±94;±13;±94
"Block Group 4; Census Tract 1240; Los Angeles County; California!!Estimate";864;656;68;0;68;0;0;72;19;53
"Block Group 4; Census Tract 1240; Los Angeles County; California!!Margin of Error";±273;±224;±103;±13;±82;±13;±13;±78;±30;±73
"Block Group 1; Census Tract 1241.02; Los Angeles County; California!!Estimate";2.004;547;118;0;640;0;454;245;221;24
"Block Group 1; Census Tract 1241.02; Los Angeles County; California!!Margin of Error";±780;±201;±105;±13;±700;±13;±287;±154;±146;±34
"Block Group 2; Census Tract 1241.02; Los Angeles County; California!!Estimate";990;539;150;0;72;0;80;149;66;83
"Block Group 2; Census Tract 1241.02; Los Angeles County; California!!Margin of Error";±266;±192;±103;±13;±72;±13;±74;±124;±67;±108
"Block Group 3; Census Tract 1241.02; Los Angeles County; California!!Estimate";656;371;29;0;50;0;151;55;15;40
